A,123.05
AA,25.6
AAC.U,10.4
AAI-B,22.5
AAI-C,22.26
AAIC,4.07
AAN,22.46
AAP,162.13
AAT,31.81
AB,37.24
ABB,29.25
ABBV,108.53
ABC,101.92
ABEV,2.54
ABG,174.04
ABM,44.06
ABR,17.03
ABR-A,25.9
ABR-B,25.48
ABR-C,26
ABT,120.84
AC,34.75
ACA,58.09
ACB,10.84
ACC,41.78
ACCO,8.29
ACEL,11.24
ACH,12.42
ACI,16.25
ACI.U,10.9
ACIC,12.91
ACM,59.29
ACN,254
ACN.U,11.58
ACN.W,1.95
ACND,10.59
ACP,11.14
ACR,13.25
ACR-C,24.32
ACRE,14.07
ACV,34.27
ADC,65.5
ADCT,27.16
ADE.U,10.39
ADM,57.2
ADNT,38.11
ADS,98.74
ADT,7.71
ADX,17.75
AEB,24.8
AEE,70.94
AEFC,25.14
AEG,4.83
AEL,28.11
AEL-A,25.88
AEL-B,27.13
AEM,56.7
AENZ,2.22
AEO,26.34
AER,50.06
AES,27.07
AFB,14.45
AFC,25.33
AFG,108.35
AFGB,26.8
AFGC,25.51
AFGD,26.31
AFGE,25.18
AFI,5.2
AFL,48.67
AFT,14.49
AG,18.44
AGCB,11.71
AGCO,131.31
AGD,10.84
AGI,7.25
AGM,86.95
AGM-C,26.75
AGM-D,26.79
AGM-F,25.7
AGM.A,72.66
AGO,44.99
AGO-B,26.55
AGO-E,25.87
AGO-F,25.66
AGR,46.02
AGRO,8.36
AGS,8.46
AGX,50.91
AHC,2.03
AHH,13.16
AHH-A,25.14
AHL-C,26.38
AHL-D,25.8
AHL-E,25.9
AHT,3.64
AHT-D,21.89
AHT-F,21.66
AHT-G,21.27
AHT-H,21.13
AHT-I,20.94
AI,116.19
AIC,24.5
AIF,14.57
AIG,44.9
AIG-A,26.88
AIN,80.81
AIO,29.21
AIR,41.03
AIRC,41.9
AIT,87.01
AIV,4.85
AIW,25
AIZ,124.43
AIZN,25.13
AIZP,115.5
AJA.U,12.78
AJA.W,3.31
AJAX,11.94
AJG,120.21
AJRD,51.69
AJX,11.39
AJXA,25
AKO.A,13.44
AKO.B,15.86
AKR,19.34
AL,47.23
AL-A,26.16
ALB,160.05
ALC,69.82
ALE,63.24
ALEX,17.8
ALG,154.96
ALI-A,20.69
ALI-B,22.86
ALI-E,22.4
ALK,67.08
ALL,107.65
ALL-B,26.2
ALL-G,26.77
ALL-H,26.06
ALL-I,25.71
ALL-Y,25.86
ALLE,109.75
ALLY,42.6
ALP-Q,26.4
ALSN,38.4
ALT-A,26.4
ALT.W,2.24
ALTG,10.89
ALU.U,13.52
ALU.W,2.98
ALUS,11.16
ALV,90.45
ALX,271
AM,8.95
AMB.W,5.6
AMBC,17.32
AMC,8.86
AMCR,11.09
AME,119.53
AMG,142.99
AMH,31.61
AMH-D,25.54
AMH-E,25.53
AMH-F,25.68
AMH-G,25.84
AMH-H,26.51
AMK,24.03
AMN,73.66
AMOV,13.24
AMP,224.98
AMPY,3.06
AMR,15.42
AMRC,58.83
AMRX,5.79
AMT,218.56
AMWL,25.46
AMX,12.85
AN,76.48
ANET,282.5
ANF,28.11
ANH,2.8
ANH-A,25.5
ANH-B,24.82
ANH-C,25.01
ANTM,307.66
AOD,9.21
AON,228.92
AON.U,13.91
AON.W,3.65
AONE,13.17
AOS,60.29
AP,8.03
APAM,48.89
APD,258.4
APG,18.73
APG.U,10.5
APH,127.38
APLE,14.65
APO,50.35
APO-A,25.7
APO-B,26.09
APRN,8.94
APS.U,11.18
APS.W,1.88
APSG,10.51
APT-A,172.63
APTS,8.42
APTV,151.06
AQN,15.68
AQNA,27.39
AQNB,27.7
AQUA,25.02
AR,9.25
ARC,2.15
ARCH,48.98
ARCO,5.39
ARD,25.62
ARDC,14.73
ARE,160.89
ARE-A,25.81
ARES,52.9
ARG-A,26.13
ARGD,25.32
ARGO,47.08
ARI,13.5
ARL,9.47
ARLO,7.12
ARMK,38.05
ARNC,22.26
AROC,10.53
ARR,12.22
ARR-C,24.63
ARW,102.08
ASA,18.99
ASA.U,10.8
ASA.W,1.4
ASAN,35.57
ASAQ,10.32
ASB,20.62
ASB-C,25.55
ASB-D,25.42
ASB-E,25.9791
ASB-F,25.6
ASC,3.98
ASG,9.07
ASGI,19.63
ASGN,94.93
ASH,85.31
ASIX,28.53
ASP.U,11.62
ASP.W,2.05
ASPL,11.1
ASPN,22.95
ASR,190.16
ASX,7.71
ASZ.U,10.7
AT,2.88
ATA,10.12
ATA.T,1.6
ATA.U,10.55
ATA.W,1.04
ATAC,10.15
ATC,20.64
ATC-D,25
ATC-E,25.3
ATC-G,25.38
ATC-H,25.23
ATC-I,25.5
ATCO,13.65
ATEN,9.57
ATGE,40.36
ATH,46.61
ATH-A,27.17
ATH-B,25.61
ATH-C,27.28
ATH-D,24.23
ATHM,117.32
ATI,20.36
ATKR,68.95
ATM.U,10.3
ATO,85.61
ATR,130.78
ATTO,22.77
ATUS,34.19
AU,20.23
AUS.U,10.6
AUY,4.1
AVA,40.41
AVA.U,11.54
AVA.W,2.2
AVAL,6.3
AVAN,10.59
AVB,178.1
AVD,19.9
AVK,17.31
AVLR,160.07
AVNS,46.87
AVNT,44.35
AVT-A,89.67
AVTR,28.24
AVY,176.7
AVYA,30.1
AWF,11.73
AWI,86.94
AWK,144.21
AWP,5.55
AWR,73.74
AX,47.33
AXL,9.96
AXO,25.08
AXP,138.74
AXR,7.98
AXS,51.04
AXS-E,25.44
AXTA,27.73
AYI,126.01
AYX,97.39
AZEK,44.43
AZO,1173.8
AZRE,31.07
AZUL,22.1
AZZ,51.9
B,53.75
BA,219.6
BABA,241.23
BAC,35.52
BAC-A,25.31
BAC-B,26.54
BAC-E,24.74
BAC-K,26.54
BAC-L,1390.82
BAC-M,26.04
BAC-N,25.77
BAC-O,24.8
BAC-P,24.7
BAF,14.82
BAH,77.27
BAK,11.56
BALY,60.51
BAM,41.14
BAMH,23.03
BAMI,23.37
BAN-D,25
BAN-E,25.3
BANC,18.97
BAP,162.47
BAX,78.07
BB,10.29
BBAR,2.77
BBD,4.1
BBDC,9.94
BBDO,3.68
BBF,13.64
BBK,15.92
BBL,63.97
BBN,24.91
BBU,42
BBVA,5.54
BBW,7.19
BBY,100.5
BC,90.04
BC-A,26.73
BC-B,27.1
BC-C,26.98
BCAT,21.76
BCC,51.36
BCE,43.24
BCEI,32.72
BCH,22.26
BCO,78.89
BCS,8.92
BCSF,15
BCX,8.95
BDC,45.43
BDJ,8.78
BDN,12.42
BDX,242.71
BDXB,52.77
BE,30
BEDU,6.5
BEKE,67.41
BEN,26.71
BEP,43.36
BEP-A,25.11
BEPC,47.21
BERY,55.94
BEST,2.22
BF.A,67.06
BF.B,72.05
BFAM,161.94
BFK,15.09
BFL.W,7.85
BFLY,19.5
BFS,35.98
BFS-D,24.28
BFS-E,24.5
BFT,15.8
BFT.U,17.37
BFT.W,4.8
BFY,15.01
BFZ,14.01
BG,77.62
BGB,13.14
BGH,15.68
BGIO,9.21
BGR,8.51
BGS,30.62
BGSF,14.19
BGT,12.4
BGX,13.94
BGY,5.86
BH,124.86
BH.A,611
BHC,31.9
BHE,29.06
BHK,15.45
BHLB,20.58
BHP,77.01
BHR,7
BHR-B,17.1
BHR-D,24.35
BHV,16.2
BHVN,85.38
BIF,11.74
BIG,63.92
BILL,167.85
BIO,590.26
BIO.B,600.7
BIP,51.63
BIP-A,24.33
BIP-B,24.59
BIPC,67.05
BIT,17.7
BIT.U,10.1
BJ,40.72
BK,42.86
BKD,5.91
BKE,39
BKH,60.13
BKI,77.51
BKN,17.4
BKR,24.75
BKT,6.07
BKU,41.11
BLD,194.68
BLE,15.15
BLK,706.82
BLL,85.33
BLU.U,10.37
BLW,15.84
BLX,15.39
BMA,13.89
BME,46.17
BMEZ,27.38
BMI,109.81
BML-G,21.45
BML-H,20.93
BML-J,24.07
BML-L,24.29
BMO,82.8
BMY,61.9
BNED,6.64
BNL,18.31
BNS,59.37
BNY,15.37
BOA.U,10.16
BOA.W,2.3
BOAC,10.86
BOE,10.89
BOH,89.14
BOOT,61.94
BORR,1.24
BOX,18.61
BP,24.82
BPMP,11.51
BPT,4.38
BQ,7.4
BR,143.45
BRBR,23.01
BRC,53.14
BRFS,3.89
BRK.A,372555
BRK.B,246.77
BRMK,10.41
BRO,46.4
BRT,16.45
BRX,20.13
BSA,25.25
BSAC,23.11
BSBR,6.66
BSD,14.6
BSE,14.03
BSIG,18.47
BSL,14.88
BSM,9.04
BSMX,4.8
BSN,10.27
BSN.U,10.93
BSN.W,1.25
BST,56
BSTZ,37
BSX,39.12
BSX-A,111.88
BTA,12.54
BTI,35.7
BTO,36.28
BTT,25.3
BTU,4.34
BTZ,14.41
BUD,59.12
BUI,25.6
BUR,8.71
BURL,264.35
BV,16.18
BVH,16.31
BVN,11.09
BW,7.26
BWA,45.39
BWG,12.38
BWSN,25.11
BWXT,58.75
BX,70.25
BXC,40.54
BXG,8.07
BXMT,30.06
BXMX,12.88
BXP,100.79
BXP-B,25.07
BXS,30.69
BXS-A,26.05
BY,20.38
BYD,60.3
BYM,14.88
BZH,18.14
BZM,14.71
C,68.49
C-J,27.66
C-K,27.45
C-N,26.8
CAAP,4.5
CABO,1927.34
CACI,223.98
CADE,21
CAE,27.7
CAF,22.34
CAG,34.11
CAH,51.94
CAI,45.02
CAI-A,26.7
CAI-B,26.36
CAJ,21.63
CAL,16.4
CALX,40.5
CANG,9.01
CAP,10.24
CAP.U,10.7
CAP.W,1.5
CAPL,17.56
CARR,36.76
CARS,12.78
CAS,10.23
CAS.U,10.95
CAS.W,1.42
CAT,219.31
CATO,12.42
CB,164.06
CBA.U,10.6
CBA.W,1.69
CBAH,10.21
CBB,15.31
CBB-B,50
CBD,16.32
CBH,10.17
CBRE,76.58
CBT,50.31
CBU,72.56
CBZ,30.53
CC,24.11
CCA.U,11.45
CCA.W,2.24
CCAC,10.63
CCEP,51.66
CCI,156.34
CCI.U,36.03
CCI.W,17.05
CCIV,32.49
CCJ,16.06
CCK,96.72
CCL,27.55
CCM,3.6
CCO,1.77
CCS,56.66
CCU,17.74
CCV,10.75
CCV.U,11.25
CCV.W,2.55
CCX,10.04
CCX.U,10.69
CCX.W,1.69
CCZ,62.0011
CDAY,91.75
CDE,9.22
CDR,14.06
CDR-B,25.09
CDR-C,22.11
CE,141.55
CEA,23
CEE,24.07
CEIX,11.18
CEL.P,0.3523
CELP,3.39
CEM,21.67
CEN,10.63
CEO,116.02
CEPU,2.24
CEQ.P,7.94
CEQP,22.3
CF,46.09
CFG,44.49
CFG-D,27.69
CFG-E,25.53
CFR,106.34
CFR-B,24.92
CFX,45.47
CFXA,188.92
CGA,4.63
CHA.U,10.35
CHCT,44.38
CHD,78.88
CHE,449.13
CHGG,98.4
CHH,107.24
CHM-A,25.31
CHM-B,24.83
CHMI,10.09
CHN,32.05
CHRA,4.18
CHS,2.75
CHT,39.69
CHWY,104.3
CI,212.37
CIA,6.29
CIB,33.98
CIEN,52.68
CIF,2.58
CIG,2.11
CIG.C,2.59
CII,18.53
CIM,11.74
CIM-A,25.15
CIM-B,23.66
CIM-C,23
CIM-D,23.35
CINR,13.12
CIO,10.34
CIO-A,25.29
CIR,37.04
CIT,46.69
CIT-B,25.33
CIXX,14.33
CKH,42.75
CL,75.44
CLA,13.73
CLA.S,10.45
CLA.U,14.61
CLA.W,3.2
CLB,36.23
CLDR,16.34
CLDT,14.43
CLF,14
CLGX,85.44
CLH,86.96
CLI,14.21
CLI.S,11.12
CLI.U,18.68
CLI.W,3.8
CLII,16.79
CLN-G,24.925
CLN-H,24.14
CLN-I,24.15
CLN-J,24.37
CLNC,8.57
CLNY,6.08
CLPR,8.85
CLR,24.88
CLS,8.45
CLVT,23.01
CLW,35.76
CLX,181.51
CM,93.73
CMA,69.84
CMC,26.06
CMCM,2.88
CMD,75
CMG,1444.83
CMI,256.25
CMO,5.8
CMO-E,25.025
CMP,64.58
CMR-C,25.86
CMR-D,25.75
CMR-E,25.92
CMRE,9.83
CMS,54.58
CMS-B,110
CMSA,25.79
CMSC,26.66
CMSD,26.59
CMU,4.49
CNA,43.25
CNC,59.01
CND,10.17
CND.U,10.8
CND.W,1.45
CNF,3.5
CNHI,14.95
CNI,110.47
CNK,23.28
CNMD,124.4
CNNE,39.05
CNO,24.51
CNO-A,25.28
CNP,19.8
CNP-B,37.18
CNQ,27.86
CNR,11.79
CNS,65
CNX,12.85
CO,4.31
COD-A,24.89
COD-B,25.2
COD-C,25.35
CODI,24.03
COE,25.73
COF,122.38
COF-G,25.38
COF-H,25.76
COF-I,25.03
COF-J,24.4
COF-K,25.41
COG,18.65
COLD,35.52
COO,387.76
COP,53.47
COR,122.37
COR-Z,18.49
CORR,7.78
COTY,7.95
CP,362.01
CPA,93.4
CPAC,8.7
CPB,45.49
CPE,26.34
CPF,23.18
CPG,3.75
CPK,106.85
CPLG,9.4
CPRI,47.71
CPS,36.97
CPS.U,11.15
CPS.W,1.52
CPSR,10.3
CPT,106
CPT.U,10.15
CPU.U,10.85
CR,85.26
CRC,26.74
CRD.A,9.56
CRD.B,9.38
CRH,43.66
CRH.U,11.08
CRH.W,2.2
CRHC,10.6
CRI,83.93
CRK,5.83
CRL,290
CRM,219.9
CRS,42.05
CRT,8.83
CRU,10.45
CRU.U,11.03
CRU.W,2.52
CRY,25.67
CS,14.6
CSL,147.53
CSLT,1.69
CSPR,8.75
CSR,69.6
CSR-C,26.28
CST.U,10.5
CSTM,13.69
CSU,32.15
CSV,33.55
CTA-A,85.77
CTA-B,104.61
CTA.U,11.07
CTA.W,1.85
CTAC,10.76
CTB,58.16
CTBB,25.3
CTDD,26.05
CTK,4.19
CTLT,114.78
CTO,53.16
CTR,18.58
CTS,32.76
CTT,10.34
CTVA,45.82
CUB,69.59
CUB-C,25.1
CUB-D,24.785
CUB-E,24.69
CUB-F,24.6
CUBB,25.8
CUBE,37.19
CUBI,27.4
CUK,23.6
CULP,17.68
CURO,14.95
CUZ,34.29
CVA,14.3
CVE,7.57
CVE.W,3.95
CVEO,18.34
CVI,22.9
CVI.U,10.58
CVNA,289.12
CVS,68.42
CVX,102.46
CW,112.92
CWE.A,26.5
CWEN,28.15
CWH,32.43
CWK,15.87
CWT,55.48
CX,6.76
CXE,5.07
CXH,9.72
CXP,14.5
CXW,7.29
CYD,15.31
CYH,8.75
CZZ,18.8
D,69.41
DAC,42.36
DAL,49.47
DAN,24.46
DAO,32
DAR,64.46
DASH,171.44
DAVA,88.95
DB,12.58
DBD,14.6
DBI,12.94
DBL,19.7
DCF,9.03
DCI,59.57
DCO,56.77
DCP,22.2
DCP-B,22.53
DCP-C,22.99
DCUE,93.5
DD,71.32
DDD,38.7
DDF,9.73
DDS,80.8
DDT,25.64
DE,355.06
DEA,22.12
DECK,330.99
DEH,10.33
DEH.W,1.33
DEI,33.23
DELL,81.08
DEN,43.19
DEO,159.08
DESP,12.14
DEX,9.6
DFIN,26.25
DFN.U,11.25
DFN.W,2
DFNS,10.42
DFP,28.72
DFS,96.44
DG,189.26
DGN.U,10.96
DGN.W,2.51
DGNR,10.75
DGX,116.63
DHF,3.06
DHI,78.41
DHR,220.92
DHR-A,1537.7
DHR-B,1318.42
DHT,5.73
DHX,3.12
DIAX,15.37
DIN,80.42
DIS,193.24
DK,25.27
DKL,36.51
DKS,72.31
DL,9.65
DLB,98.83
DLN-A,24.5
DLN-B,20.79
DLNG,2.86
DLR,135.59
DLR-C,25.51
DLR-J,25.86
DLR-K,27.18
DLR-L,26.27
DLX,40.44
DLY,19.2
DM,20.46
DM.W,9.35
DMB,13.97
DMO,14.82
DMS,11.2
DMS.W,2.2
DMY.D,15.84
DMY.S,20.16
DMY.T,5.96
DMY.V,4.6
DMYD,19.84
DMYI,14.61
DNB,22.08
DNK,2.58
DNM.W,25.5
DNMR,40.49
DNOW,11.16
DNP,10.45
DNZ.U,10.24
DOC,17.23
DOOR,112.66
DOV,124.41
DOW,61.15
DPG,13.15
DPZ,349.56
DQ,109.17
DRD,9.15
DRE,39.63
DRH,10.5
DRH-A,26.67
DRI,139.12
DRQ,34.34
DRUA,25.45
DS,2.7
DS-B,20.04
DS-C,20.35
DS-D,20.14
DSE,6.91
DSL,17.6
DSM,7.85
DSSI,8.23
DSU,10.75
DSX,3.08
DSX-B,25.65
DT,50.71
DTB,24.75
DTE,118.43
DTF,14.16
DTJ,25.41
DTL.P,12.94
DTP,46.5
DTW,25.94
DTY,25.67
DUC,10.46
DUK,86
DUK-A,26.78
DUKB,26.73
DUKH,25.45
DVA,103.22
DVD,2.21
DVN,22.05
DWI.U,10.55
DWI.W,0.98
DWIN,10.08
DX,19.13
DX-C,25.24
DXC,25.77
DY,78.86
DYFN,18.65
E,23.02
EAF,12.3
EAI,25.4
EARN,12.38
EAT,70.21
EB,20.48
EBF,20.21
EBR,5.75
EBR.B,5.76
EBS,98.78
EC,12.5
ECC,11.13
ECCB,25.58
ECCX,25.35
ECCY,25.44
ECL,210.8
ECOM,23.14
ED,66.13
EDD,6
EDF,8.69
EDI,8.86
EDN,3.95
EDU,180.94
EEA,10.64
EEX,5.62
EFC,16
EFC-A,22.99
EFF,15.78
EFL,9.22
EFR,13.45
EFT,13.98
EFX,163.25
EGF,12.9
EGHT,34.68
EGO,10.74
EGP,138.43
EGY,3.36
EHC,81.36
EHI,10.1
EHT,9.85
EIC,15.33
EIG,33.8
EIX,54.6
EL,290.78
ELAN,33.2
ELAT,50.86
ELC,25.59
ELF,26.32
ELP,10.57
ELS,62.47
ELVT,4.18
ELY,28.65
EMD,13.1
EME,99.77
EMF,19.91
EMN,111.09
EMO,17.22
EMP,25.55
EMP.U,10.49
EMP.W,1.2
EMPW,10.2
EMR,87.07
ENB,34.41
ENBA,26.93
ENBL,6.78
ENIA,7.66
ENIC,3.89
ENJ,25.49
ENLC,4.02
ENO,25.48
ENP.U,26
ENP.W,3.16
ENPC,25.58
ENR,42.78
ENR-A,90.2
ENS,92.51
ENV,64.89
ENVA,31.77
ENZ,2.94
EOD,5.29
EOG,65.46
EOI,16.61
EOS,22.21
EOT,21.78
EP-C,49.99
EPAC,25.12
EPAM,378
EPC,31.03
EPD,21.75
EPR,46.28
EPR-C,24.58
EPR-E,33.49
EPR-G,23.6
EPRT,23.35
EPW.U,10.42
EQC,28.44
EQC-D,30.07
EQD,10.57
EQD.U,11
EQD.W,1.79
EQH,30.05
EQH-A,25.68
EQH-C,24.82
EQH.U,10.19
EQNR,19.16
EQR,66.58
EQS,1.8
EQT,18.09
ERF,4.96
ERJ,8.86
ES,80.04
ESE,107.51
ESGC,1.9
ESI,18.34
ESNT,42.13
ESRT,11.32
ESS,258.45
ESTC,136.4
